Date,Open,High,Low,Close,Adj Close,Volume
11/2/16,113.18,113.400002,102.099998,108.440002,97.979713,33735600
12/2/16,105.120003,109.839996,105,108.629997,98.151382,12973400
16/2/16,109.730003,112.760002,109,112.599998,101.738441,7587700
17/2/16,114.029999,116.830002,113.989998,116.339996,105.117676,6619600
18/2/16,116.910004,118.230003,116.68,117.57,106.229012,6489000
19/2/16,117.309998,117.330002,114.419998,115.160004,104.051506,6920600
22/2/16,115.160004,118.970001,115.160004,117.389999,106.066399,4930300
23/2/16,116.970001,118.5,115.93,116.900002,105.62365,3762300
24/2/16,115.370003,115.959999,112.510002,115.589996,104.440025,6859300
25/2/16,116.349998,117.599998,115.779999,116.82,105.551361,4667100
26/2/16,117.75,119.449997,117.5,118.160004,106.7621,3757800
29/2/16,118.120003,119.470001,117.5,118.18,106.780174,4569700
1/3/16,119.010002,120.989998,118.25,119.959999,108.388489,4595400
2/3/16,119.629997,120.75,118.5,119.650002,108.108391,4292500
3/3/16,118.839996,119.730003,118.25,119.610001,108.072235,3404600
4/3/16,120.169998,122.230003,119.849998,121.07,109.391396,4421500
7/3/16,120.800003,123.32,120.57,122.900002,111.044884,4504700
8/3/16,121.980003,122.970001,121.309998,122.349998,110.547943,5257300
9/3/16,122.379997,123.260002,122.029999,122.860001,111.008751,3380300
10/3/16,123.139999,123.82,121.43,122.940002,111.081024,4111300
11/3/16,124.129997,125.5,123.860001,124.629997,112.608002,3260100
14/3/16,123.93,127,123.860001,126.339996,114.153046,4283400
15/3/16,125.550003,126.370003,124.209999,126.360001,114.171135,3717500
16/3/16,126.239998,128.130005,125.75,127.57,115.264412,5154700
17/3/16,128.070007,131.600006,127.419998,130.699997,118.092491,5801000
18/3/16,131.240005,134.679993,131.009995,133.960007,121.03801,9108400
21/3/16,133.460007,136.779999,133.389999,135.860001,122.754745,5671400
22/3/16,135.139999,136.100006,134.779999,135.119995,122.086113,4989000
23/3/16,134.990005,135,132.740005,132.860001,120.044113,4361200
24/3/16,131.610001,132.229996,130.029999,132.119995,119.375519,4573100
28/3/16,132.529999,132.619995,130.550003,131.289993,118.625565,3352200
29/3/16,129.830002,130.929993,128.179993,130.880005,118.255112,4910200
30/3/16,131.479996,132.729996,128.020004,128.580002,116.177002,5949000
31/3/16,128.089996,128.380005,125.25,126.940002,114.695175,8758300
1/4/16,126.230003,127.089996,125.110001,126.959999,114.713249,5328000
4/4/16,126.540001,127.970001,125.879997,126.339996,114.153046,5036500
5/4/16,126.150002,128.589996,125.580002,127.029999,114.776489,4660100
6/4/16,127.160004,128.039993,125.75,127.93,115.589684,3998000
7/4/16,127,128.940002,126.559998,127,114.74939,4596300
8/4/16,128.039993,130.020004,127.610001,127.879997,115.544502,3939800
11/4/16,128.25,129.899994,127.68,127.910004,115.571617,3611700
12/4/16,127.620003,130.380005,126.68,129.470001,116.981117,4239200
13/4/16,130.490005,131.5,129.809998,131.139999,118.490028,3514800
14/4/16,131.5,131.949997,130.529999,130.850006,118.228004,4527600
15/4/16,130.949997,131.600006,130.679993,131.130005,118.481003,5008700
18/4/16,131.130005,132.25,130.320007,131.970001,119.239975,3056000
19/4/16,132.570007,133.850006,132.210007,132.679993,119.881485,2931000
20/4/16,128.550003,131.360001,128.490005,130.570007,117.975029,6799000
21/4/16,130.979996,132.639999,130.300003,130.740005,118.128624,4799600
22/4/16,131.089996,131.830002,130.5,131.050003,118.40873,3858100
25/4/16,130.449997,131,129.309998,130.75,118.137657,4600100
26/4/16,131.25,133.270004,131.059998,133.240005,120.387466,6103400
27/4/16,133.199997,137.889999,131.949997,137.080002,123.857063,6930800
28/4/16,136.289993,137.720001,134.5,134.800003,121.796989,4938800
29/4/16,134.419998,135.229996,132.809998,134.800003,121.796989,3716700
2/5/16,134.380005,135,133.229996,134.009995,121.083191,3703800
3/5/16,132.699997,133.309998,131.460007,132.490005,119.709816,4028700
4/5/16,131.589996,132.309998,130.529999,130.889999,118.264153,3340500
5/5/16,131.729996,132.639999,131.119995,132.080002,119.339363,4199200
6/5/16,132.110001,133.630005,131.759995,133.259995,120.405548,2466000
9/5/16,132.800003,133.809998,131.820007,132.100006,119.357437,3431100
10/5/16,133.179993,135.240005,132.789993,134.720001,121.724693,3382700
11/5/16,133.809998,134.990005,132.940002,133,121.150826,3284100
12/5/16,133.490005,135.039993,133.490005,134.419998,122.444313,4591300
13/5/16,133.740005,134.940002,131.910004,132.119995,120.349243,3965900
16/5/16,131.630005,134.410004,131.550003,134.139999,122.189262,3165400
17/5/16,133.619995,134.490005,131.960007,132.559998,120.750015,4032000
18/5/16,132.449997,133.179993,130.339996,130.990005,119.319908,4060400
19/5/16,130.240005,130.429993,127.089996,128.080002,116.669159,5061600
20/5/16,129.130005,129.25,127.209999,127.389999,116.040627,3297700
23/5/16,127.400002,128.410004,125.879997,127.580002,116.21373,3977700
24/5/16,127.760002,128.809998,126.32,127.5,116.140823,5102400
25/5/16,128,129.779999,127.370003,128.860001,117.379677,4656700
26/5/16,128.479996,129.899994,128.320007,129.309998,117.789581,2586300
27/5/16,128.960007,129.699997,128.830002,129.220001,117.707603,3043700
31/5/16,129.880005,129.979996,126.040001,126.150002,114.911118,6894400
1/6/16,126,126.5,124.779999,126.410004,115.147957,4679600
2/6/16,126.650002,127.029999,125.32,126.849998,115.548752,4802100
3/6/16,126.419998,127.580002,125.949997,127.379997,116.031525,5485600
6/6/16,127.599998,132.080002,127.449997,131.899994,120.148842,6996200
7/6/16,132.410004,133.389999,131.820007,131.929993,120.176147,4424000
8/6/16,132.520004,133.529999,132.039993,133,121.150826,3883700
9/6/16,132.100006,133.820007,131.919998,133.100006,121.241928,3811200
10/6/16,131.759995,132.119995,130.369995,131.139999,119.456535,3828600
13/6/16,130.789993,131.509995,129.880005,129.919998,118.345245,3645000
14/6/16,129.630005,130.600006,128.5,130.5,118.873566,3717000
15/6/16,130.880005,131.759995,129.970001,130.160004,118.56385,3324800
16/6/16,129.320007,129.889999,126.900002,129.369995,117.844223,4066100
17/6/16,129.830002,129.990005,128.809998,129.820007,118.254158,6739600
20/6/16,131.360001,133.899994,131.210007,132.75,120.923103,4331900
21/6/16,133.190002,133.279999,131.490005,131.520004,119.802681,2841100
22/6/16,132.100006,133.160004,131.580002,131.770004,120.030411,2640800
